Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
3110822f6f3a2dd4822b1f50a0af2815;Beginning django CMS;Build a first-class content management system from the ground up the easy way;Nigel George;Apress;CrowdFarming Box 4;;;;;
2dc279dbfede7a7770a9b270a1f2c795;Einstieg in Python;Ideal für Programmiereinsteiger;Thomas Theis;Rheinwerk Computing;CrowdFarming Box 4;;;;;
fd54797db3276303e3bf25dacac7a58d;Design Patterns;Elements of Reusable Object-Oriented Software;Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides;Addison-Wesley Professional;CrowdFarming Box 5;auch digital;;;;
303158e70f760180d8030c0bc2ec3f8c;Head First Design Patterns;Building Extensible & Maintainable Object-Oriented Software;Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates;O'Reilly;CrowdFarming Box 5;auch digital;;;;
9ef379076ae87ddf945cd8e3199eaf26;Microelectronic Circuit Design;Third Edition;Jaeger, Blalock;McGRAW-HILL INTERNATIONAL EDITION;CrowdFarming Box 5;;;;;
0b6d97d2a4ccf8b8468340c0be64b255;Robust and Adaptive Control;With Aerospace Applications;Eugene Lavretsky, Kevin A. Wise;Springer;CrowdFarming Box 5;;;;;
cf80777362ebeadd4b9b50eb226486fc;Nichtlineare Regelungen;;Jürgen Adamy;Springer;CrowdFarming Box 5;;;;;
01471fd7c316db67cad23ebb2a9f2ff8;Grundstock des Wissens - Wissen 2000;Zusammenhänge erkennen, Fakten nachschlagen, Prüfungen vorbereiten;;SERGES MEDIEN;CrowdFarming Box 5;;;;;
cfc78fd1779fa0bdf6fcf312c87c5b07;Objectives & Key Results;Wie Sie Ziele, auf die es wirklich ankommt, entwickeln, messen und umsetzen;John Doerr;Vahlen;CrowdFarming Box 5;;;;;
468548c5a55155af46670e2b32fbd39e;MASTERING PROFESSIONAL SCRUM;A PRACTITIONER'S GUIDE TO OVERCOMING CHALLENGES AND MAXIMIZING THE BENEFITS OF AGILITY;STEPHANIE OCKERMAN, SIMON REINDL;Scrum.org;CrowdFarming Box 5;;;;;
3b2f3c143b7b9a0216dba6834c6c363f;SCRUM MASTERY;From Good To Great Servant Leadership 2ND EDITION;Geoff Watts;;CrowdFarming Box 5;;;;;
ebe6fa5572574bfc4057c0b0da2307a0;Influence;The Psychology of Persuasion;Robert B. Cialdini;HarperCollins;CrowdFarming Box 5;;;;;
5238bc34ffc92958807cd92580fc39a4;Atomic Habits;An Easy and Proven Way to Build Good Habits and Break Bad Ones;James Clear;;CrowdFarming Box 5;;;;;
